id_tisk,cz,id_sbirka,typ,zdroj,xzdroj
3228,0,20373.0,31,2,0
3234,0,12705.0,31,2,0
3243,0,16826.0,31,2,0
3272,0,199.0,31,2,0
3295,0,,0,2,0
3298,0,20913.0,31,2,0
3299,0,225.0,31,2,0
3299,0,17629.0,31,2,0
3299,0,17626.0,31,2,0
3299,0,20295.0,31,2,0
3299,0,514.0,31,2,0
3299,0,16702.0,31,2,0
3334,0,773.0,31,2,0
3364,0,454.0,31,2,0
3375,0,504.0,31,2,0
3375,0,17789.0,31,2,0
3375,0,19063.0,31,2,0
3395,0,6517.0,31,2,0
3396,0,715.0,31,2,0
3420,0,20629.0,31,2,0
3421,0,12711.0,31,2,0
3422,0,12705.0,31,2,0
3422,0,12712.0,31,2,0
3422,0,12462.0,31,2,0
3422,0,15.0,31,2,0
3422,0,16463.0,31,2,0
3422,0,16078.0,31,2,0
3422,0,18408.0,31,2,0
3422,0,16904.0,31,2,0
3422,0,12.0,31,2,0
3422,0,20842.0,31,2,0
3422,0,19296.0,31,2,0
3422,0,20416.0,31,2,0
3422,0,21105.0,31,2,0
3422,0,20431.0,31,2,0
3422,0,20449.0,31,2,0
3422,0,20429.0,31,2,0
3422,0,617.0,31,2,0
3422,0,12106.0,31,2,0
3422,0,12708.0,31,2,0
3422,0,12125.0,31,2,0
3422,0,241.0,31,2,0
3422,0,17703.0,31,2,0
3422,0,12711.0,31,2,0
3422,0,10263.0,31,2,0
3422,0,11967.0,31,2,0
3422,0,225.0,31,2,0
3422,0,261.0,31,2,0
3422,0,332.0,31,2,0
3422,0,473.0,31,2,0
3422,0,499.0,31,2,0
3422,0,607.0,31,2,0
3422,0,613.0,31,2,0
3422,0,715.0,31,2,0
3422,0,757.0,31,2,0
3422,0,16165.0,31,2,0
3422,0,16826.0,31,2,0
3422,0,17348.0,31,2,0
3422,0,17628.0,31,2,0
3422,0,17629.0,31,2,0
3422,0,16463.0,31,2,0
3422,0,125.0,31,2,0
3422,0,134.0,31,2,0
3422,0,136.0,31,2,0
3422,0,254.0,31,2,0
3422,0,349.0,31,2,0
3422,0,364.0,31,2,0
3422,0,449.0,31,2,0
3422,0,527.0,31,2,0
3422,0,558.0,31,2,0
3422,0,577.0,31,2,0
3422,0,643.0,31,2,0
3422,0,648.0,31,2,0
3422,0,693.0,31,2,0
3422,0,695.0,31,2,0
3422,0,841.0,31,2,0
3422,0,904.0,31,2,0
3422,0,16145.0,31,2,0
