id_poslanec,adresa,latitude,longitude
1929,Smetanovy sady 75; Plzeň; 30101,49,13
1930,nám. T. G. Masaryka 165; Česká Lípa; 47001,50,14
1931,Masarykovo náměstí 128; Kroměříž; 76701,49,17
1932,Na Jízdárně 2824/2; Ostrava - Moravská Ostrava; 70200,49,18
1933,Jateční 1746/22; Přerov; 75002,49,17
1934,Masarykovo nám. 1544; Pardubice; 53002,50,15
1935,Husova 443; Vyškov; 68201,49,16
1936,Zelený pruh 95/97; Praha 4 - Braník; 14000,50,14
1937,Truhlářská 1106; Praha 1; 11000,50,14
1938,Vranovská 1570/61; Brno; 61400,49,16
1939,Štefánikova 167; Zlín; 76030,49,17
1940,Opletalova 1603/57; Praha 1; 11000,50,14
1941,Truhlářská 1106; Praha 1; 11000,50,14
1942,Bělohorská 476; Plzeň - Severní Předměstí; 30100,49,13
1943,Kvítková 4323; Zlín; 76001,49,17
1944,nám. Soukenné 613/3; Liberec; 46001,50,15
