id_tisku,id_organ,typ,id_hist,id_posl,poradi
1386,79,1,126579,,
1386,76,2,126580,250.0,
1400,79,1,126583,,
1400,79,2,126584,365.0,
1400,73,2,126584,292.0,
1401,79,1,126589,,
1401,79,2,126590,336.0,
1402,79,1,126595,,
1402,79,2,126596,336.0,
1402,72,2,126596,269.0,
1403,79,1,126601,,
1403,79,2,126602,414.0,
1455,79,1,126607,,
1455,75,1,126607,,
1455,74,1,126607,,
1455,74,2,126608,287.0,
1455,75,2,126608,298.0,
1455,79,2,126608,352.0,
1455,73,2,126608,321.0,
1455,78,2,126608,347.0,
1455,72,2,126608,280.0,
1434,79,1,126613,,
1434,79,2,126614,254.0,
1434,73,3,126614,292.0,
1485,79,1,126619,,
1485,79,2,126620,414.0,
1485,73,2,126620,321.0,
1487,79,1,126625,,
1487,79,2,126626,229.0,
1487,74,2,126626,240.0,
1513,79,1,126631,,
1513,79,2,126632,235.0,
1513,69,2,126632,319.0,
1537,79,1,126637,,
1537,79,2,126638,229.0,
1560,79,1,126643,,
1560,79,2,126644,414.0,
1560,73,3,126644,292.0,
1783,92,1,126651,,
1783,92,2,126652,549.0,
1783,90,2,126652,613.0,
1783,87,3,126652,479.0,
1792,92,1,126657,,
1792,92,2,126658,583.0,
1792,85,2,126658,560.0,
1801,92,1,126664,,
1801,92,2,126665,614.0,
1801,85,2,126665,560.0,
1860,92,1,126670,,
1860,92,2,126671,610.0,
1860,85,3,126671,560.0,
1877,92,1,126676,,
1877,92,2,126677,443.0,
1877,85,3,126677,560.0,
1884,92,1,126682,,
1884,92,2,126683,612.0,
1913,92,1,126688,,
1913,92,2,126689,521.0,
1942,92,1,126694,,
1942,92,2,126695,521.0,
1940,92,1,126700,,
1940,92,2,126701,534.0,
1940,85,2,126701,560.0,
1952,92,1,126707,,
1952,92,2,126708,610.0,
1952,91,2,126708,433.0,
1959,92,1,126714,,
1959,92,2,126715,443.0,
1959,85,3,126715,560.0,
1960,92,1,126721,,
1960,92,2,126722,575.0,
1960,89,2,126722,575.0,
1971,92,1,126728,,
1971,92,2,126729,612.0,
1971,85,3,126729,560.0,
1995,92,1,126734,,
1995,92,2,126735,534.0,
1995,85,3,126735,560.0,
2000,89,1,126740,,
2000,87,2,126741,528.0,
2000,92,2,126741,583.0,
2000,89,2,126741,607.0,
2002,89,1,126744,,
2002,89,2,126745,605.0,
2003,92,1,126748,,
2003,92,2,126749,488.0,
2003,85,3,126749,560.0,
2031,92,1,126752,,
2031,92,2,126753,443.0,
2031,89,2,126753,575.0,
2034,92,1,126756,,
2034,90,1,126756,,
2034,92,2,126757,517.0,
2034,87,2,126757,517.0,
2034,90,2,126757,610.0,
2035,92,1,126760,,
2035,88,1,126760,,
2035,92,2,126761,549.0,
2035,88,2,126761,490.0,
2046,92,1,126764,,
2046,92,2,126765,575.0,
2046,89,2,126765,575.0,
2047,92,1,126768,,
2047,92,2,126769,610.0,
2047,91,2,126769,491.0,
2052,92,1,126772,,
2052,92,2,126773,517.0,
2070,92,1,126776,,
2070,92,2,126777,602.0,
2138,92,1,126780,,
2138,92,2,126781,517.0,1.0
2147,92,1,126783,,
2147,92,2,126784,496.0,1.0
2147,85,3,126784,560.0,
2153,92,1,126786,,
2325,86,2,131111,609.0,1.0
2513,81,1,131113,,1.0
2156,92,1,126789,,
2156,92,2,126790,517.0,
2156,91,2,126790,475.0,
2156,87,2,126790,517.0,
2211,92,1,126793,,
2211,92,2,126794,443.0,1.0
2231,92,1,126796,,
2231,92,2,131151,585.0,1.0
2253,92,1,126799,,
2309,89,2,130616,608.0,1.0
2273,92,1,126802,,
2273,92,2,126803,583.0,1.0
2271,92,1,126805,,
2271,92,2,126806,511.0,1.0
2270,92,1,126808,,
2329,86,3,130647,508.0,1.0
2270,86,2,126809,554.0,2.0
2276,92,1,126811,,
2276,87,2,126812,572.0,2.0
2276,92,2,126812,594.0,1.0
2286,92,1,126814,,
2299,87,2,126818,563.0,2.0
2299,92,1,126817,,
2299,89,2,126818,608.0,3.0
2299,92,2,126818,583.0,1.0
2478,85,1,131176,,1.0
2311,92,1,126820,,
2311,92,2,126821,488.0,1.0
2311,87,2,126821,563.0,2.0
2311,89,2,126821,608.0,3.0
2136,87,3,130419,507.0,1.0
20,31,1,126830,,
20,32,1,126830,,
21,32,1,126836,,
22,32,1,126842,,
23,34,1,126848,,
35,32,1,126854,,
35,35,1,126854,,
35,32,2,126855,4.0,
35,35,2,126855,90.0,
45,32,1,126864,,
45,33,1,126864,,
45,32,2,126865,139.0,
45,33,2,126865,123.0,
46,27,1,126871,,
46,27,2,126872,,
47,31,1,126875,,
47,35,1,126875,,
47,31,2,126876,175.0,
47,35,2,126876,159.0,
37,32,1,126882,,
37,35,1,126882,,
32,32,1,126885,,
32,32,2,126886,192.0,
33,32,1,126894,,
34,32,1,126900,,
50,36,1,126903,,
50,36,2,126904,134.0,
51,36,1,126910,,
51,32,2,126911,197.0,
51,36,2,126911,126.0,
64,34,1,126916,,
64,34,2,126917,154.0,
69,32,1,126922,,
70,28,1,126925,,
70,28,2,126926,183.0,
75,34,1,126935,,
86,32,1,126938,,
86,35,1,126938,,
86,38,1,126938,,
86,32,2,126939,139.0,
86,35,2,126939,49.0,
86,38,2,126939,95.0,
87,28,1,126945,,
87,32,1,126945,,
87,35,1,126945,,
87,38,1,126945,,
87,28,2,126946,33.0,
87,32,2,126946,139.0,
87,38,2,126946,56.0,
87,35,2,126946,49.0,
90,28,1,126955,,
90,28,2,126956,190.0,
94,31,1,126961,,
94,31,2,126962,188.0,
96,36,1,126970,,
97,38,1,126973,,
97,38,2,126974,164.0,
100,31,1,126983,,
100,31,2,126984,170.0,
101,36,1,126997,,
101,36,2,126998,141.0,
105,32,1,127007,,
109,38,1,127010,,
109,38,2,127011,2.0,
110,28,1,127017,,
110,28,2,127018,190.0,
111,32,1,127023,,
111,32,2,127024,,
112,32,1,127026,,
112,32,2,127027,118.0,
113,34,1,127036,,
116,34,1,127042,,
116,34,2,127043,113.0,
122,28,1,127052,,
122,28,2,127053,47.0,
123,36,1,127063,,
123,34,2,127064,79.0,
123,36,2,127064,196.0,
147,38,1,127070,,
147,38,2,127071,82.0,
146,38,1,127077,,
146,38,2,127078,82.0,
152,37,1,127084,,
153,36,1,127088,,
154,31,1,127094,,
161,31,1,127100,,
161,31,2,127101,98.0,
161,32,2,127101,192.0,
162,36,1,127110,,
162,36,2,127111,148.0,
163,35,1,127116,,
163,35,2,127117,172.0,
169,28,1,127119,,
169,28,2,127120,190.0,
170,32,1,127126,,
171,32,1,127131,,
172,32,1,127134,,
172,32,2,127135,139.0,
175,31,1,127140,,
175,31,2,127141,98.0,
180,28,1,127143,,
180,28,2,127144,70.0,
183,36,1,127149,,
184,35,1,127152,,
184,35,2,127153,172.0,
185,38,1,127158,,
185,38,2,127159,22.0,
187,28,1,127164,,
188,28,1,127170,,
189,32,1,127176,,
189,32,2,127177,26.0,
190,32,1,127182,,
191,32,1,127188,,
191,32,2,127189,192.0,
191,34,2,127189,113.0,
192,27,1,127192,,
192,27,2,127193,67.0,
193,28,1,127199,,
193,28,2,127200,186.0,
203,32,1,127202,,
203,32,2,127203,139.0,
204,34,1,127205,,
204,34,2,127206,55.0,
205,28,1,127208,,
205,28,2,127209,33.0,
208,31,1,127214,,
208,31,2,127215,71.0,
209,38,1,127220,,
209,38,2,127221,,
210,27,1,127226,,
211,32,1,127229,,
211,32,2,127230,4.0,
212,32,1,127232,,
212,32,2,127233,59.0,
213,31,1,127235,,
213,31,2,127236,131.0,
214,38,1,127241,,
214,35,2,127242,159.0,
214,38,2,127242,23.0,
215,31,1,127247,,
215,31,2,127248,170.0,
216,34,1,127253,,
217,32,1,127255,,
217,32,2,127256,26.0,
218,38,1,127258,,
219,37,1,127261,,
219,37,2,127262,127.0,
225,34,1,127270,,
226,34,1,127275,,
227,33,1,127280,,
227,37,1,127280,,
227,33,2,127281,125.0,
227,37,2,127281,25.0,
228,31,1,127287,,
228,31,2,127288,194.0,
229,31,1,127290,,
229,31,2,127291,,
230,37,1,127293,,
230,37,2,127294,81.0,
232,28,1,127300,,
232,28,2,127301,133.0,
233,34,1,127303,,
233,34,2,127304,38.0,
234,34,1,127309,,
235,32,1,127314,,
235,32,2,127315,139.0,
236,36,1,127320,,
237,36,1,127325,,
238,32,1,127328,,
238,32,2,127329,139.0,
239,27,1,127331,,
239,27,2,127332,140.0,
239,32,2,127332,69.0,
239,33,2,127332,51.0,
240,35,1,127334,,
240,35,2,127335,199.0,
245,31,1,127337,,
245,31,2,127338,188.0,
246,35,1,127340,,
246,35,2,127341,85.0,
247,31,1,127343,,
247,31,2,127344,175.0,
248,31,1,127350,,
248,31,2,127351,94.0,
249,38,1,127353,,
250,31,1,127362,,
251,31,1,127368,,
251,31,2,127369,71.0,
252,28,1,127371,,
252,28,2,127372,47.0,
253,38,1,127374,,
253,38,2,127375,,
255,28,1,127377,,
255,28,2,127378,186.0,
256,31,1,127380,,
256,31,2,127381,58.0,
257,28,1,127387,,
257,28,2,127388,183.0,
258,31,1,127390,,
258,31,2,127391,98.0,
259,34,1,127393,,
259,34,2,127394,154.0,
260,28,1,127400,,
260,28,2,127401,47.0,
260,31,2,127401,128.0,
260,37,2,127401,127.0,
260,35,2,127401,30.0,
261,38,1,127403,,
261,38,2,127404,129.0,
262,31,1,127410,,
262,31,2,127411,170.0,
263,34,1,127413,,
263,34,2,127414,21.0,
264,34,1,127416,,
264,34,2,127417,55.0,
269,31,1,127419,,
269,31,2,127420,10.0,
270,38,1,127426,,
270,38,2,127427,95.0,
271,31,1,127429,,
271,31,2,127430,98.0,
271,32,2,127430,192.0,
272,36,1,127436,,
273,34,1,127439,,
273,34,2,127440,20.0,
274,37,1,127442,,
274,37,2,127443,91.0,
276,32,1,127448,,
277,32,1,127454,,
285,32,1,127460,,
293,35,1,127465,,
294,28,1,127470,,
309,35,1,127472,,
332,31,1,127477,,
368,37,1,127479,,
371,31,1,127485,,
371,31,2,127486,71.0,
372,34,1,127489,,
372,34,2,127490,113.0,
532,74,1,127496,,
537,74,1,127499,,
539,73,1,127510,,
540,74,1,127513,,
540,69,3,127514,357.0,
540,74,2,127514,315.0,
540,78,3,127514,259.0,
540,77,3,127514,221.0,
541,69,1,127523,,
541,69,2,127524,350.0,
542,69,1,127533,,
542,69,2,127534,330.0,
542,72,2,127534,276.0,
543,74,1,127551,,
544,73,1,127558,,
544,73,2,127559,262.0,
554,69,1,127563,,
554,69,2,127564,219.0,
554,79,2,127564,294.0,
555,77,1,127576,,
555,69,2,127577,388.0,
555,77,3,127577,324.0,
556,69,1,127589,,
556,69,2,127590,319.0,
556,74,3,127590,226.0,
556,80,2,127590,339.0,
557,74,1,127604,,
558,72,1,127610,,
558,72,2,127611,343.0,
558,74,3,127611,315.0,
560,69,1,127618,,
563,69,1,127622,,
563,69,2,127623,368.0,
564,69,1,127635,,
565,77,1,127639,,
565,77,2,127640,208.0,
568,80,1,127655,,
568,77,2,127656,349.0,
568,80,2,127656,276.0,
569,77,1,127668,,
569,77,2,127669,282.0,
569,80,2,127669,276.0,
570,76,1,127685,,
570,76,2,127686,216.0,
571,79,1,127698,,
571,79,2,127699,304.0,
573,80,1,127710,,
573,80,2,127711,215.0,
574,76,1,127723,,
574,76,2,127724,289.0,
575,69,1,127739,,
575,69,2,127740,273.0,
576,73,1,127752,,
576,73,2,127753,262.0,
576,80,2,127753,359.0,
577,73,1,127766,,
577,73,2,127767,262.0,
578,80,1,127777,,
578,80,2,127778,359.0,
580,69,1,127790,,
580,69,2,127791,317.0,
581,76,1,127803,,
582,69,1,127807,,
582,69,2,127808,311.0,
582,75,3,127808,224.0,
585,78,1,127820,,
585,73,2,127821,248.0,
585,74,3,127821,251.0,
585,78,2,127821,347.0,
588,80,1,127836,,
588,76,2,127837,275.0,
588,80,2,127837,237.0,
592,73,1,127849,,
592,73,2,127850,321.0,
592,75,2,127850,361.0,
593,74,1,127865,,
593,74,2,127866,360.0,
599,69,1,127876,,
599,77,1,127876,,
599,79,1,127876,,
599,69,2,127877,279.0,
599,73,2,127877,305.0,
599,79,2,127877,304.0,
599,77,2,127877,235.0,
604,74,1,127891,,
607,73,1,127894,,
607,73,2,127895,288.0,
609,76,1,127907,,
609,76,2,127908,291.0,
609,73,2,127908,288.0,
624,73,1,127912,,
624,73,2,127913,262.0,
636,74,1,127922,,
636,74,2,127923,315.0,
637,75,1,127934,,
648,80,1,127940,,
648,80,2,127941,359.0,
649,79,1,127946,,
649,79,2,127947,352.0,
650,76,1,127958,,
650,76,2,127959,218.0,
657,74,1,127973,,
681,76,1,127979,,
693,76,1,127982,,
693,74,2,127983,331.0,
693,76,2,127983,252.0,
701,80,1,127998,,
701,80,2,127999,306.0,
708,74,1,128014,,
708,74,2,128015,301.0,
743,74,1,128034,,
744,74,1,128040,,
761,78,1,128046,,
761,78,2,128047,347.0,
761,69,3,128047,245.0,
770,69,1,128059,,
770,69,2,128060,330.0,
788,80,1,128071,,
788,80,2,128072,359.0,
794,78,1,128086,,
794,78,2,128087,281.0,
795,74,1,128093,,
796,74,1,128099,,
797,74,1,128105,,
797,74,2,128106,315.0,
797,76,3,128106,289.0,
799,76,1,128122,,
799,76,2,128123,291.0,
800,76,1,128134,,
800,76,2,128135,291.0,
842,74,1,128146,,
842,74,2,128147,315.0,
846,73,1,128161,,
846,73,2,128162,309.0,
846,74,2,128162,331.0,
846,80,2,128162,303.0,
851,75,1,128176,,
867,80,1,128179,,
867,80,2,128180,215.0,
873,78,1,128194,,
873,78,2,128195,268.0,
874,73,1,128206,,
874,73,2,128207,262.0,
875,76,1,128225,,
878,74,1,128228,,
878,74,2,128229,301.0,
881,74,1,128243,,
881,74,2,128244,342.0,
882,73,1,128250,,
882,73,2,128251,262.0,
883,76,1,128262,,
883,76,2,128263,218.0,
884,77,1,128277,,
886,73,1,128280,,
886,73,2,128281,309.0,
886,80,3,128281,377.0,
887,73,1,128292,,
887,73,2,128293,288.0,
903,74,1,128304,,
903,74,2,128305,301.0,
906,74,1,128321,,
907,76,1,128327,,
913,73,1,128333,,
919,74,1,128339,,
920,74,1,128345,,
921,69,1,128351,,
921,76,2,128352,299.0,
921,69,2,128352,330.0,
921,73,3,128352,362.0,
922,75,1,128360,,
922,75,2,128361,325.0,
930,74,1,128376,,
931,74,1,128382,,
932,76,1,128388,,
933,73,1,128394,,
933,73,2,128395,262.0,
933,74,2,128395,408.0,
934,74,1,128404,,
934,74,2,128405,271.0,
937,69,1,128411,,
938,74,1,128417,,
938,74,2,128418,295.0,
938,76,2,128418,312.0,
938,75,3,128418,293.0,
955,73,1,128431,,
955,73,2,128432,309.0,
969,73,1,128438,,
969,73,2,128439,288.0,
970,76,1,128453,,
971,73,1,128456,,
971,73,2,128457,262.0,
975,78,1,128470,,
975,76,3,128471,335.0,
975,78,2,128471,341.0,
979,74,1,128479,,
979,77,1,128479,,
979,74,2,128480,331.0,
979,77,2,128480,269.0,
979,73,2,128480,288.0,
980,74,1,128486,,
980,74,2,128487,360.0,
1004,74,1,128493,,
1004,74,2,128494,379.0,
1004,80,2,128494,376.0,
1014,74,1,128511,,
1014,77,1,128511,,
1014,74,2,128512,331.0,
1014,77,2,128512,269.0,
1014,73,2,128512,262.0,
1020,73,1,128522,,
1029,76,1,128525,,
1029,76,2,128526,299.0,
1031,74,1,128540,,
1031,74,2,128541,271.0,
1040,74,1,128558,,
1042,73,1,128564,,
1042,80,2,128565,359.0,
1043,69,1,128576,,
1043,69,2,128577,317.0,
1049,74,1,128588,,
1049,77,1,128588,,
1049,74,2,128589,331.0,
1049,77,2,128589,269.0,
1049,73,2,128589,288.0,
1051,76,1,128600,,
1051,76,2,128601,291.0,
1052,73,1,128612,,
1053,76,1,128621,,
1053,76,2,128622,252.0,
1056,69,1,128637,,
1056,69,2,128638,330.0,
1056,73,3,128638,362.0,
1057,74,1,128653,,
1057,74,2,128654,331.0,
1057,75,2,128654,,
1057,78,3,128654,323.0,
1057,76,2,128654,312.0,
1058,69,1,128665,,
1058,69,2,128666,330.0,
1059,73,1,128680,,
1059,73,2,128681,320.0,
1059,74,2,128681,,
1060,74,1,128695,,
1060,74,2,128696,295.0,
1060,76,3,128696,312.0,
1060,75,3,128696,293.0,
1060,78,3,128696,323.0,
1065,73,1,128713,,
1065,74,1,128713,,
1065,77,1,128713,,
1073,74,1,128720,,
1093,69,1,128723,,
1093,69,2,128724,311.0,
1095,73,1,128739,,
1102,78,1,128742,,
1102,78,2,128743,230.0,
1115,73,1,128758,,
1115,73,2,128759,262.0,
1117,77,1,128774,,
1117,77,2,128775,349.0,
1118,73,1,128786,,
1119,73,1,128796,,
1122,73,1,128810,,
1128,74,1,128814,,
1128,74,2,128815,,
1129,74,1,128821,,
1130,74,1,128827,,
1131,74,1,128833,,
1132,74,1,128839,,
1133,74,1,128845,,
1139,74,1,128851,,
1139,74,2,128852,342.0,
1140,73,1,128864,,
1140,73,2,128865,309.0,
1140,80,2,128865,237.0,
1141,77,1,128877,,
1141,77,2,128878,282.0,
1141,80,2,128878,322.0,
1146,73,1,128890,,
1146,73,2,128891,262.0,
1146,69,3,128891,407.0,
1147,77,1,128906,,
1147,77,2,128907,324.0,
1147,69,3,128907,317.0,
1153,73,1,128919,,
